t,agent_x,agent_y,goal_x,goal_y,subgoal_x,subgoal_y,waypoint_x,waypoint_y,new_high_command
0,0.07193019071384021,0.034319676181277986,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,1
1,0.06638309386248954,0.04669732521145895,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
2,0.043884366466116424,0.058965521011233236,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
3,0.056254551475905266,0.043061360266436484,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
4,0.07863896264386938,-0.0015582996924036934,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
5,0.21626398987047044,-0.028279624424413504,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
6,0.3800424956826836,-0.08376036895397634,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
7,0.49998678022768084,-0.16069090172789843,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
8,0.599995266957622,-0.24665054809599563,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
9,0.6705660673280243,-0.322133221729585,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
10,0.6671283216189647,-0.3565183230936778,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
11,0.680375855826823,-0.3863878044988593,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
12,0.7618533171559205,-0.3946152797631257,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
13,0.9368690920072437,-0.3915283441535538,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
14,1.0613986298023297,-0.4177782283582871,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
15,1.0737662054765387,-0.47252295297785646,0.0,32.0,-3.999998092651367,15.12043285369873,1.0,-1.0,0
16,0.9873451831056733,-0.5959666218764803,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
17,0.9174664087407023,-0.728810590690399,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
18,0.85544678447546,-0.8508186108673649,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
19,0.8284077527731288,-0.9543926682278295,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
20,0.8846868487166916,-0.9404726520735204,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
21,0.9886653511307286,-0.9783900031505508,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
22,1.0570699833608237,-1.0360348769587955,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
23,1.0966235938585782,-1.0813566864737054,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
24,1.121227980444597,-1.1018357325795718,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
25,1.1985772534268966,-1.0943427109914512,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
26,1.3020684849776702,-1.0737066229652816,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
27,1.4074777952001416,-1.0644759409977644,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
28,1.5116651519540951,-1.0920392872457048,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
29,1.6346730510326384,-1.1916424579673706,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
30,1.7535373751031318,-1.3339714077040372,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
31,1.8669957794944336,-1.4191938263132153,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
32,1.9669357210563982,-1.3391540231834258,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
33,2.098277344139698,-1.2357155309686816,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
34,2.2822321098312957,-1.1254228809736704,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
35,2.451267461388894,-1.0431991681838164,0.0,32.0,-3.999998092651367,15.12043285369873,3.0,-1.0,0
36,2.618534255658836,-0.9679236125476152,0.0,32.0,-3.999998092651367,15.12043285369873,5.0,-1.0,0
